Team_Name,Tries_Scored,Conversions,Conversion_Attempts,Conversion_Percentage,Penalty_Goals,Penalty_Attempts,Penalty_Percentage,Kick_at_Goal_Success,Drop_Goals,Drop_Goal_Attempts,Kicks_from_Hand,Passes,Runs,Metres_Run,Possession(%),Clean_Breaks,Defenders_Beaten,Offloads,Rucks_Won,Total_Rucks,Percent_Rucks_Won,Mauls_Won,Total_Mauls,Percent_Mauls_Won,Turnovers_Conceded,Tackles_Made,Tackles_Missed,Tackling_Success_Rate,Own_Scrum_Won,Own_Scrum_Lost,Opp_Scrum_Won,Opp_Scrum_Lost,Percent_Scrums_on_own_feed,Own_Lineout_Won,Own_Lineout_Lost,Opp_Lineout_Won,Opp_Lineout_Lost,Percent_Lineouts_on_own_feed,Penalties_Conceeded,Yellow_Cards,Red_Cards,Referee,Playing_Location,Result,Outcome,Tot_Own_Scrums,Penalties_Won
8,3,1,3,33.33333333,2,2,100,0.6,0,0,27,175,137,483,0.55,6,26,13,97,10,0.96,5,6,0,15,143,22,0.87,10,1,1,4,0.909,14,1,3,6,0.933,7,0,0,0,1,23,1,11,7
3,1,1,1,100,2,2,100,1,0,0,22,152,126,381,0.45,11,22,9,93,98,0.949,2,3,0,17,149,26,0.85,4,1,1,10,0.8,6,3,1,14,0.667,7,0,0,0,0,13,0,5,7
7,2,2,2,100,1,1,100,1,0,0,26,196,146,370,0.33,8,30,13,11,1,0.975,0,0,0,15,69,13,0.84,6,1,1,5,0.857,16,1,2,9,0.941,8,0,0,0,1,17,0,7,9
1,4,3,4,75,2,3,66.66666667,0.71,0,0,33,82,68,277,0.67,8,13,7,51,53,0.962,0,0,0,11,176,30,0.85,5,1,1,6,0.833,9,2,1,16,0.818,9,0,0,0,0,32,1,6,8
3,4,4,4,100,2,2,100,1,0,0,22,179,135,422,0.5,13,23,17,97,10,0.97,0,0,0,12,149,30,0.83,7,1,2,4,0.875,13,2,1,9,0.867,8,0,0,0,1,34,3,8,10
2,4,4,4,100,2,2,100,1,0,0,18,142,143,512,0.5,13,30,19,91,94,0.968,0,0,0,17,153,23,0.87,4,2,1,7,0.667,9,1,2,13,0.9,10,1,0,0,0,34,3,6,8
4,6,6,6,100,0,1,0,0.86,0,0,21,125,124,377,0.56,6,12,3,92,97,0.948,6,6,1,12,119,13,0.9,4,1,0,5,0.8,13,2,4,10,0.867,13,0,0,0,1,42,1,5,8
0,2,2,2,100,2,3,66.66666667,0.8,0,0,20,120,99,354,0.44,2,13,3,76,83,0.916,2,3,0,14,139,12,0.92,5,0,1,4,1,10,4,2,13,0.714,8,0,0,0,0,20,0,5,13
6,7,6,7,85.71428571,2,3,66.66666667,0.8,0,0,23,193,143,608,0.61,21,31,10,10,1,0.964,7,8,0,11,112,8,0.93,7,1,0,3,0.875,16,1,1,7,0.941,9,0,0,0,1,53,1,8,16
10,3,2,3,66.66666667,1,1,100,0.75,0,0,19,129,104,432,0.39,8,8,15,66,71,0.93,3,3,1,11,167,31,0.84,3,0,1,7,1,7,1,1,16,0.875,16,1,0,0,0,22,0,3,9
8,0,0,0,0,5,5,100,1,0,0,12,132,94,345,0.5,4,11,11,64,71,0.901,1,4,0,15,93,18,0.84,7,0,1,9,1,7,5,1,7,0.583,12,1,1,0,1,15,0,7,13
5,2,2,2,100,4,4,100,1,0,0,13,82,90,449,0.5,8,18,9,56,65,0.862,3,5,0,16,109,11,0.91,9,1,0,7,0.9,7,1,5,7,0.875,13,1,0,0,0,26,1,10,12
9,4,2,4,50,4,4,100,0.75,0,0,29,142,112,467,0.43,7,20,10,88,92,0.957,3,6,0,9,141,27,0.84,1,0,1,4,1,8,1,1,11,0.889,10,2,0,0,1,36,1,1,7
11,2,2,2,100,1,1,100,1,0,0,18,190,147,527,0.57,13,27,19,10,1,0.939,5,5,1,11,109,20,0.84,4,1,0,1,0.8,11,1,1,8,0.917,7,0,0,0,0,17,0,5,10
7,1,1,1,100,2,2,100,1,0,0,22,103,122,328,0.46,7,12,6,86,89,0.966,4,4,1,14,116,16,0.88,4,0,2,5,1,12,5,1,9,0.706,9,1,0,0,1,13,0,4,12
6,4,2,4,50,3,4,75,0.62,0,0,22,173,141,498,0.54,16,16,15,84,91,0.923,3,5,0,14,130,12,0.92,5,2,0,4,0.714,9,1,5,12,0.9,12,2,0,0,0,33,1,7,9
